connector,category,description,env_vars,status
Google Drive,document_source,Import PDFs and docs from approved Drive folders,GOOGLE_DRIVE_CLIENT_ID;GOOGLE_DRIVE_CLIENT_SECRET,planned
Dropbox,document_source,Import document folders from Dropbox,DROPBOX_ACCESS_TOKEN,planned
OneDrive,document_source,Import Microsoft document libraries,ONEDRIVE_CLIENT_ID,planned
Gmail,document_source,Import email attachments and route processed reports,GMAIL_SMTP_HOST;GMAIL_SMTP_USER;GMAIL_SMTP_PASSWORD,planned
Slack,notification,Send review queue alerts to Slack,SLACK_WEBHOOK_URL,planned
Notion,knowledge_base,Export summaries and review notes to Notion,NOTION_API_KEY,planned
Airtable,database,Send extracted records to Airtable,AIRTABLE_API_KEY,planned
HubSpot,crm,Attach vendor/customer documents to CRM objects,HUBSPOT_API_KEY,planned
Salesforce,crm,Sync structured document intelligence to Salesforce,SALESFORCE_CLIENT_ID,planned
Jira,workflow,Create review or missing-document tickets,JIRA_API_TOKEN;JIRA_BASE_URL,planned
GitHub,engineering,Create issues for technical document review,GITHUB_TOKEN,planned
PostgreSQL,database,Store extracted fields and audit logs,DATABASE_URL,planned
Snowflake,data_warehouse,Export document intelligence tables to warehouse,SNOWFLAKE_ACCOUNT,planned
S3,storage,Archive processed document packets,S3_BUCKET,planned
n8n,automation,Trigger downstream document workflows,N8N_WEBHOOK_URL,planned
Zapier,automation,Trigger no-code workflow automation,ZAPIER_WEBHOOK_URL,planned
Make,automation,Trigger Make scenario automation,MAKE_WEBHOOK_URL,planned
